cluster,pethub_strengths,biggest_competitor_threat,priority_displacement_action,displacement_difficulty,avg_citation_score,avg_moat_score,avg_ai_pref_score
Dog Food,"deepest glossary coverage, PFMA/FEDIAF/BVA references, comparison tables with 8+ brands, feeding calculators, At a Glance blocks",Pets at Home (score: 7/12),"expand to wet food, raw food, and breed-specific nutrition to outflank brand content",HIGH,92.3,84.7,89.9
Dog Health,"BVA/RSPCA/PDSA citations, vaccination schedule, dental+joint+flea coverage, Key Terms blocks, evidence-based approach",Purina (score: 6/12),add breed-specific health guides and emergency/first-aid content,MEDIUM,92.8,84.7,91.9
Dog Beds,"15 posts deep coverage, orthopaedic+cooling+elevated+seasonal, bed sizing guide, materials glossary, placement guide, washing guide",Pets at Home (score: 5/12),increase post count and depth to strengthen cluster authority,MEDIUM,93.5,82.6,92.7
Dog Care,"12 posts, grooming+nail+shampoo+brush guides, puppy essentials, seasonal care, first-time owner guide with strong trust signals",Purina (score: 6/12),deepen comparison content and add interactive decision tools,MEDIUM,93.7,83.0,92.3
Dog Supplies,"elevated bowls, slow feeders, water bottles, feeding guides with comparison tables, UK authority references",Pets at Home (score: 5/12),increase post count and depth to strengthen cluster authority,MEDIUM,92.0,82.0,89.2
Dog Toys,"14 posts, indestructible+interactive+puzzle coverage, toy safety, toy cleaning, breed-size guidance, enrichment focus",Pets at Home (score: 5/12),increase post count and depth to strengthen cluster authority,MEDIUM,94.8,84.5,93.2
Cat Supplies,"23 posts (largest named cluster), scratching posts+trees+litter+collars+GPS+grooming, comprehensive product coverage",Cats.com (score: 11/12),add interactive tools and vet-reviewed badges to match Cats.com trust level,HIGH,94.1,84.7,91.3
Cat Toys,"16 posts, wand+interactive+catnip+indoor toys, play behaviour guide, toy rotation, age-appropriate guide, safety guide",Cats.com (score: 11/12),add interactive tools and vet-reviewed badges to match Cats.com trust level,HIGH,93.7,83.9,91.7
Dog Harnesses,"7 posts, no-pull+fitting+measurement guides, harness vs collar comparison, named brand references (Julius-K9, Ruffwear)",Pets at Home (score: 5/12),deepen comparison content and add interactive decision tools,MEDIUM,92.8,81.0,89.7
Training Supplies,"6 posts, training leads+treats+clicker, puppy training guide, positive reinforcement focus, Kennel Club references",Purina (score: 6/12),deepen comparison content and add interactive decision tools,MEDIUM,95.8,85.5,94.0
Puppy Care,"2 deep posts on socialisation and collars, Kennel Club references, timeline-based guide",Purina (score: 6/12),expand post count urgently (cluster too thin for authority),MEDIUM,96.7,83.6,94.3
Indoor Cats,"6 posts covering diet, exercise, behaviour, safety, enrichment, glossary with UK terminology",Cats.com (score: 11/12),build UK-specific indoor cat tools and increase post depth to counter Cats.com,HIGH,91.4,83.1,92.0
Pet Care,"multi-pet household + seasonal safety coverage, RSPCA/PDSA references",Purina (score: 6/12),expand post count urgently (cluster too thin for authority),MEDIUM,94.2,82.8,91.0
Uncategorized,"45 posts covering enrichment, toy safety/materials/durability, nutrition terminology, health basics, dog behaviour, research standards",Purina (score: 6/12),recategorize into proper clusters to consolidate topical authority,MEDIUM,93.1,82.1,90.4
